s1,s2,result
0,0,0
1.71807e+10,1.71807e+10,0
1.71807e+10,1.71807e+10,0
1.71807e+10,1.71807e+10,0
6.49775e+10,5.66772e+10,8.30027e+09
6.49775e+10,5.66772e+10,8.30027e+09
1.39135e+11,1.07161e+11,3.19741e+10
1.39135e+11,1.07161e+11,3.19741e+10
2.32394e+11,1.52342e+11,8.00513e+10
3.49044e+11,2.06278e+11,1.42766e+11
4.86214e+11,2.64526e+11,2.21688e+11
6.40525e+11,3.22288e+11,3.18237e+11
6.40525e+11,3.22288e+11,3.18237e+11
7.83454e+11,3.32293e+11,4.51161e+11
9.32501e+11,3.33321e+11,5.9918e+11
1.084e+12,3.25287e+11,7.58708e+11
1.084e+12,3.25287e+11,7.58708e+11
1.084e+12,3.25287e+11,7.58708e+11
1.084e+12,3.25287e+11,7.58708e+11
1.11151e+12,2.09855e+11,9.01655e+11
1.13017e+12,1.13219e+11,1.01695e+12
1.13017e+12,1.13219e+11,1.01695e+12
1.13017e+12,1.13219e+11,1.01695e+12
1.13017e+12,1.13219e+11,1.01695e+12
1.13017e+12,1.13219e+11,1.01695e+12
1.13017e+12,1.13219e+11,1.01695e+12
1.13017e+12,1.13219e+11,1.01695e+12
1.13017e+12,1.13219e+11,1.01695e+12
8.95578e+11,1.55098e+11,7.40479e+11
8.95578e+11,1.55098e+11,7.40479e+11
8.95578e+11,1.55098e+11,7.40479e+11
6.64795e+11,2.75027e+11,3.89768e+11
4.69788e+11,4.26534e+11,4.32532e+10
3.15359e+11,5.97143e+11,-2.81784e+11
3.15359e+11,5.97143e+11,-2.81784e+11
2.18463e+11,7.30438e+11,-5.11975e+11
2.18463e+11,7.30438e+11,-5.11975e+11
2.18463e+11,7.30438e+11,-5.11975e+11
2.18463e+11,7.30438e+11,-5.11975e+11
2.18463e+11,7.30438e+11,-5.11975e+11
2.45075e+11,6.02683e+11,-3.57609e+11
2.45075e+11,6.57265e+11,-4.1219e+11
3.41656e+11,4.96678e+11,-1.55022e+11
3.41656e+11,4.96678e+11,-1.55022e+11
3.41656e+11,4.38963e+11,-9.73075e+10
5.06802e+11,2.82458e+11,2.24344e+11
5.06802e+11,1.98585e+11,3.08217e+11
5.06802e+11,1.98585e+11,3.08217e+11
3.43451e+11,1.99886e+11,1.43565e+11
2.23659e+11,2.01916e+11,2.1743e+10
2.23659e+11,1.10572e+11,1.13087e+11
1.64752e+11,1.05491e+11,5.92612e+10
2.07833e+11,5.58802e+10,1.51953e+11
2.07833e+11,1.31872e+10,1.94646e+11
2.07833e+11,1.0445e+10,1.97388e+11
2.18175e+11,2.25637e+10,1.95611e+11
2.18175e+11,2.25637e+10,1.95611e+11
2.18175e+11,2.25637e+10,1.95611e+11
2.18175e+11,2.25637e+10,1.95611e+11
3.27753e+11,7.56963e+10,2.52057e+11
4.82702e+11,1.55732e+11,3.2697e+11
4.82702e+11,1.55732e+11,3.2697e+11
4.82702e+11,1.55732e+11,3.2697e+11
3.19487e+11,7.08778e+10,2.4861e+11
1.96359e+11,2.80187e+10,1.6834e+11
1.16348e+11,3.06843e+10,8.56637e+10
1.16348e+11,3.06843e+10,8.56637e+10
1.16348e+11,3.06843e+10,8.56637e+10
1.16348e+11,5.98325e+10,5.65155e+10
1.20096e+11,1.30937e+11,-1.08414e+10
1.20096e+11,1.30937e+11,-1.08414e+10
9.0054e+10,1.8739e+11,-9.73362e+10
8.23908e+10,2.99696e+11,-2.17306e+11
9.72951e+10,4.58606e+11,-3.61311e+11
9.45516e+10,3.63581e+11,-2.6903e+11
8.50666e+10,5.32707e+11,-4.4764e+11
8.50666e+10,5.32707e+11,-4.4764e+11
1.18435e+11,3.64104e+11,-2.45668e+11
1.18435e+11,3.64104e+11,-2.45668e+11
1.18435e+11,3.64104e+11,-2.45668e+11
5.66514e+10,3.73867e+11,-3.17216e+11
5.66514e+10,2.43694e+11,-1.87042e+11
5.66514e+10,1.34617e+11,-7.79658e+10
1.33383e+11,1.02733e+11,3.06498e+10
1.33383e+11,5.23018e+10,8.10808e+10
5.54917e+10,1.10234e+10,4.44683e+10
1.44781e+10,8.87578e+09,5.60228e+09
1.44781e+10,8.87578e+09,5.60228e+09
1.44781e+10,8.87578e+09,5.60228e+09
1.44781e+10,8.87578e+09,5.60228e+09
2.45228e+10,5.00721e+10,-2.55493e+10
1.00067e+10,2.09405e+10,-1.09337e+10
2.86367e+10,7.59198e+10,-4.72831e+10
2.86367e+10,1.06819e+11,-7.81821e+10
8.79665e+10,2.07691e+11,-1.19725e+11
8.79665e+10,2.07691e+11,-1.19725e+11
8.79665e+10,2.07691e+11,-1.19725e+11
3.06944e+10,1.05452e+11,-7.47581e+10
1.17824e+10,4.00907e+10,-2.83083e+10
1.17824e+10,4.00907e+10,-2.83083e+10
1.17824e+10,4.00907e+10,-2.83083e+10
1.17824e+10,4.00907e+10,-2.83083e+10
4.4257e+10,5.66995e+10,-1.24425e+10
4.4257e+10,6.22611e+10,-1.80041e+10
6.79749e+09,5.37207e+10,-4.69232e+10
6.79749e+09,1.314e+11,-1.24602e+11
4.55751e+10,1.76207e+11,-1.30632e+11
4.55751e+10,1.76207e+11,-1.30632e+11
4.55751e+10,2.89898e+11,-2.44323e+11
1.25131e+10,4.38403e+11,-4.2589e+11
4.15232e+10,3.71012e+11,-3.29489e+11
1.00128e+11,2.97e+11,-1.96871e+11
1.00128e+11,2.97e+11,-1.96871e+11
1.78963e+11,1.95128e+11,-1.61654e+10
1.09992e+11,3.08874e+11,-1.98882e+11
1.09992e+11,3.08874e+11,-1.98882e+11
1.54848e+11,1.80382e+11,-2.55336e+10
1.54848e+11,1.18536e+11,3.63128e+10
2.05561e+11,4.90276e+10,1.56533e+11
2.74538e+11,2.31711e+10,2.51366e+11
3.6008e+11,4.30956e+10,3.16984e+11
3.6008e+11,5.97878e+10,3.00292e+11
3.1638e+11,6.40796e+10,2.52301e+11
3.30059e+11,1.19682e+11,2.10377e+11
3.30059e+11,2.06465e+11,1.23595e+11
2.72338e+11,1.91381e+11,8.09575e+10
2.29037e+11,1.78005e+11,5.10323e+10
2.29037e+11,1.78005e+11,5.10323e+10
1.83457e+11,1.38174e+11,4.52828e+10
1.55593e+11,1.06719e+11,4.88744e+10
1.55593e+11,1.06719e+11,4.88744e+10
1.55593e+11,1.49517e+11,6.07695e+09
1.55593e+11,1.49517e+11,6.07695e+09
2.41872e+11,2.57237e+11,-1.53652e+10
2.41872e+11,2.57237e+11,-1.53652e+10
1.36884e+11,1.42436e+11,-5.552e+09
1.36884e+11,1.42436e+11,-5.552e+09
2.50304e+11,1.70576e+11,7.97278e+10
2.50304e+11,1.02725e+11,1.47579e+11
2.50304e+11,1.02725e+11,1.47579e+11
2.50304e+11,1.02725e+11,1.47579e+11
1.54747e+11,7.36416e+10,8.11057e+10
2.38855e+11,2.54021e+10,2.13453e+11
3.43803e+11,4.86551e+09,3.38938e+11
2.54959e+11,1.21072e+10,2.42852e+11
2.54959e+11,3.64377e+10,2.18522e+11
3.05905e+11,6.44935e+10,2.41411e+11
3.05905e+11,6.44935e+10,2.41411e+11
3.48326e+11,1.46216e+11,2.02111e+11
3.48326e+11,1.46216e+11,2.02111e+11
3.48326e+11,1.74525e+11,1.73802e+11
3.53793e+11,2.93278e+11,6.05155e+10
3.53793e+11,2.93278e+11,6.05155e+10
3.53793e+11,2.62451e+11,9.13426e+10
3.53793e+11,2.62451e+11,9.13426e+10
4.43332e+11,1.46924e+11,2.96408e+11
4.43332e+11,7.85738e+10,3.64758e+11
4.43332e+11,3.17129e+10,4.11619e+11
4.43332e+11,1.02013e+10,4.33131e+11
2.92988e+11,4.22208e+10,2.50768e+11
2.92988e+11,4.95641e+10,2.43424e+11
1.68377e+11,1.20989e+11,4.73877e+10
1.68377e+11,1.20989e+11,4.73877e+10
1.68377e+11,1.20989e+11,4.73877e+10
1.68377e+11,8.82933e+10,8.00835e+10
1.68377e+11,6.89174e+10,9.94594e+10
1.05727e+11,1.31854e+11,-2.61274e+10
1.05727e+11,1.31854e+11,-2.61274e+10
1.05727e+11,9.35063e+10,1.22204e+10
1.05727e+11,6.84322e+10,3.72945e+10
1.05727e+11,6.84322e+10,3.72945e+10
1.05727e+11,4.18912e+10,6.38354e+10
1.05727e+11,4.18912e+10,6.38354e+10
7.93089e+10,6.80179e+09,7.25071e+10
7.93089e+10,6.80179e+09,7.25071e+10
7.93089e+10,2.52665e+09,7.67822e+10
7.93089e+10,2.52665e+09,7.67822e+10
7.93089e+10,2.52665e+09,7.67822e+10
7.93089e+10,3.01129e+10,4.9196e+10
7.93089e+10,3.01129e+10,4.9196e+10
2.7033e+10,3.68772e+10,-9.84428e+09
8.27907e+10,9.15269e+10,-8.73625e+09
8.27907e+10,9.15269e+10,-8.73625e+09
2.46621e+10,5.99699e+10,-3.53078e+10
2.46621e+10,1.0979e+11,-8.51283e+10
7.94715e+10,2.13625e+11,-1.34153e+11
2.8161e+10,1.47169e+11,-1.19008e+11
2.8161e+10,1.47169e+11,-1.19008e+11
2.8161e+10,1.47169e+11,-1.19008e+11
2.75331e+10,6.56844e+10,-3.81513e+10
2.75331e+10,4.96212e+10,-2.20881e+10
2.75331e+10,4.96212e+10,-2.20881e+10
7.77247e+10,8.43802e+09,6.92867e+10
7.77247e+10,6.87262e+09,7.08521e+10
1.67734e+11,1.3001e+10,1.54733e+11
1.67734e+11,5.99703e+10,1.07764e+11
8.10793e+10,1.21982e+11,-4.0903e+10
8.10793e+10,2.02331e+11,-1.21252e+11
4.06231e+10,3.3588e+11,-2.95257e+11
4.06231e+10,3.3588e+11,-2.95257e+11
5.03253e+10,4.89853e+11,-4.39527e+11
3.27718e+10,3.37376e+11,-3.04605e+11
3.27718e+10,3.37376e+11,-3.04605e+11
3.49333e+10,2.0304e+11,-1.68107e+11
3.49333e+10,1.24846e+11,-8.9913e+10
4.76297e+10,1.45744e+11,-9.8114e+10
4.76297e+10,1.45744e+11,-9.8114e+10
4.76297e+10,1.45744e+11,-9.8114e+10
4.76297e+10,6.29699e+10,-1.53402e+10
1.1766e+11,3.60123e+10,8.1648e+10
4.52757e+10,2.67085e+10,1.85672e+10
1.18232e+11,1.10175e+09,1.1713e+11
1.18232e+11,1.10175e+09,1.1713e+11
1.18232e+11,1.65547e+10,1.01677e+11
5.54338e+10,4.96462e+10,5.78759e+09
1.11166e+11,8.40104e+10,2.7156e+10
1.11166e+11,8.40104e+10,2.7156e+10
7.38972e+10,8.06087e+10,-6.71149e+09
7.38972e+10,1.58132e+11,-8.42348e+10
9.31009e+10,1.55054e+11,-6.19531e+10
6.32016e+10,2.68377e+11,-2.05175e+11
1.0306e+11,2.16766e+11,-1.13706e+11
1.86257e+11,1.67677e+11,1.85801e+10
9.61306e+10,2.91969e+11,-1.95839e+11
9.61312e+10,3.35272e+11,-2.39141e+11
9.61312e+10,3.35272e+11,-2.39141e+11
3.20406e+10,4.69549e+11,-4.37509e+11
9.53699e+10,3.1038e+11,-2.1501e+11
9.53699e+10,3.1038e+11,-2.1501e+11
3.86072e+10,3.54278e+11,-3.1567e+11
3.86072e+10,2.461e+11,-2.07493e+11
8.3247e+10,1.51695e+11,-6.84483e+10
8.3247e+10,6.68821e+10,1.63649e+10
8.3247e+10,1.78784e+10,6.53686e+10
8.3247e+10,8.7202e+09,7.45268e+10
8.3247e+10,4.01617e+10,4.30853e+10
1.13326e+11,8.80405e+10,2.52853e+10
1.13326e+11,1.81761e+11,-6.8435e+10
1.13326e+11,1.81761e+11,-6.8435e+10
1.13326e+11,1.81761e+11,-6.8435e+10
1.24933e+11,1.74986e+11,-5.00525e+10
1.24933e+11,2.74859e+11,-1.49926e+11
1.24933e+11,2.74859e+11,-1.49926e+11
1.24933e+11,3.50983e+11,-2.2605e+11
1.24933e+11,4.22363e+11,-2.9743e+11
1.24933e+11,4.22363e+11,-2.9743e+11
8.77817e+10,2.89565e+11,-2.01783e+11
8.77817e+10,2.89565e+11,-2.01783e+11
1.4715e+11,3.81406e+11,-2.34256e+11
1.4715e+11,3.81406e+11,-2.34256e+11
1.4715e+11,2.73356e+11,-1.26206e+11
1.4715e+11,2.73356e+11,-1.26206e+11
1.4715e+11,2.73356e+11,-1.26206e+11
1.4715e+11,1.53498e+11,-6.34794e+09
1.4715e+11,7.29273e+10,7.42227e+10
7.14726e+10,1.05958e+11,-3.44859e+10
7.14726e+10,1.05958e+11,-3.44859e+10
7.14726e+10,1.36554e+11,-6.50818e+10
7.14723e+10,2.23479e+11,-1.52007e+11
1.13289e+11,2.69895e+11,-1.56606e+11
8.24625e+10,3.23843e+11,-2.41381e+11
8.24625e+10,4.82885e+11,-4.00423e+11
8.97443e+10,6.59667e+11,-5.69923e+11
9.44377e+10,5.96604e+11,-5.02167e+11
9.44375e+10,7.16261e+11,-6.21823e+11
9.44375e+10,7.16261e+11,-6.21823e+11
9.44375e+10,7.16261e+11,-6.21823e+11
9.44375e+10,6.89511e+11,-5.95074e+11
1.8191e+11,4.92996e+11,-3.11086e+11
3.08613e+11,3.26451e+11,-1.78388e+10
1.80162e+11,3.67631e+11,-1.87469e+11
8.74861e+10,3.98778e+11,-3.11292e+11
8.74861e+10,2.73282e+11,-1.85796e+11
8.74861e+10,1.62763e+11,-7.52767e+10
4.543e+10,1.46473e+11,-1.01043e+11
4.543e+10,6.6308e+10,-2.0878e+10
5.44136e+10,5.45194e+10,-1.05744e+08
1.06083e+11,5.95529e+10,4.65299e+10
4.73617e+10,1.93235e+10,2.80382e+10
4.73617e+10,1.93235e+10,2.80382e+10
4.73617e+10,3.15316e+09,4.42086e+10
4.73613e+10,2.54738e+10,2.18875e+10
7.94988e+09,6.5289e+10,-5.73391e+10
7.94988e+09,1.48036e+11,-1.40086e+11
7.94988e+09,2.64922e+11,-2.56972e+11
7.94988e+09,2.64922e+11,-2.56972e+11
4.73595e+10,4.08475e+11,-3.61116e+11
4.73595e+10,4.08475e+11,-3.61116e+11
4.73595e+10,4.08475e+11,-3.61116e+11
1.73983e+10,2.76231e+11,-2.58833e+11
1.73983e+10,2.62117e+11,-2.44719e+11
1.73983e+10,2.62117e+11,-2.44719e+11
3.77779e+10,1.45142e+11,-1.07364e+11
3.77779e+10,8.72086e+10,-4.94307e+10
8.59717e+09,1.20136e+11,-1.11539e+11
8.59717e+09,7.53116e+10,-6.67144e+10
4.37226e+10,2.14556e+10,2.22671e+10
6.67636e+09,3.6137e+10,-2.94606e+10
6.6762e+09,2.34971e+10,-1.68209e+10
4.52254e+10,2.91394e+09,4.23115e+10
4.52254e+10,2.70817e+10,1.81437e+10
4.52254e+10,8.0413e+10,-3.51876e+10
4.52254e+10,8.0413e+10,-3.51876e+10
1.64497e+10,1.71108e+11,-1.54659e+11
2.71151e+10,2.94857e+11,-2.67742e+11
2.71151e+10,2.94857e+11,-2.67742e+11
7.61963e+09,1.77363e+11,-1.69743e+11
7.61963e+09,1.53518e+11,-1.45898e+11
7.61963e+09,1.35198e+11,-1.27578e+11
3.71983e+10,2.17898e+11,-1.807e+11
3.71983e+10,2.17898e+11,-1.807e+11
3.96469e+09,1.13988e+11,-1.10023e+11
3.96469e+09,5.61085e+10,-5.21438e+10
3.96469e+09,2.09466e+10,-1.69819e+10
5.09748e+09,1.44344e+09,3.65404e+09
3.58571e+09,9.74866e+09,-6.16296e+09
3.58571e+09,9.74866e+09,-6.16296e+09
6.15839e+09,2.16953e+09,3.98887e+09
2.9299e+09,2.4444e+10,-2.15141e+10
6.73471e+09,2.06438e+10,-1.3909e+10
6.73471e+09,7.17663e+10,-6.50316e+10
6.73455e+09,1.498e+11,-1.43066e+11
3.06682e+09,2.60178e+11,-2.57111e+11
3.44242e+10,4.11057e+11,-3.76632e+11
1.00035e+11,5.9001e+11,-4.89975e+11
1.00035e+11,5.9001e+11,-4.89975e+11
3.98681e+10,4.11736e+11,-3.71868e+11
3.98681e+10,4.11736e+11,-3.71868e+11
3.98681e+10,4.11736e+11,-3.71868e+11
3.98681e+10,2.79345e+11,-2.39477e+11
7.42693e+10,2.65935e+11,-1.91666e+11
7.42693e+10,2.65935e+11,-1.91666e+11
1.25233e+11,2.12679e+11,-8.74463e+10
1.25233e+11,1.09238e+11,1.59946e+10
9.70572e+10,1.14199e+11,-1.71418e+10
1.12438e+11,4.28032e+10,6.96344e+10
1.49005e+11,8.42887e+09,1.40577e+11
1.49005e+11,8.42887e+09,1.40577e+11
1.90809e+11,2.03622e+10,1.70447e+11
1.90809e+11,6.7179e+10,1.2363e+11
1.90809e+11,1.39239e+11,5.15704e+10
2.15986e+11,2.48729e+11,-3.27438e+10
2.15986e+11,2.48729e+11,-3.27438e+10
2.15986e+11,2.48729e+11,-3.27438e+10
2.15986e+11,2.48729e+11,-3.27438e+10
2.15986e+11,2.48729e+11,-3.27438e+10
1.82343e+11,3.14536e+11,-1.32193e+11
1.82343e+11,2.3308e+11,-5.07373e+10
1.82343e+11,1.57668e+11,2.46752e+10
1.82343e+11,1.57668e+11,2.46752e+10
1.82343e+11,1.57668e+11,2.46752e+10
1.82343e+11,7.14212e+10,1.10922e+11
1.82343e+11,1.90417e+10,1.63301e+11
1.82343e+11,4.843e+09,1.775e+11
8.91304e+10,1.17976e+10,7.73328e+10
1.8431e+11,2.18708e+10,1.62439e+11
3.13475e+11,5.7352e+10,2.56123e+11
1.87867e+11,9.54723e+10,9.23945e+10
1.87867e+11,9.54723e+10,9.23945e+10
1.12426e+11,1.91267e+11,-7.8841e+10
8.23597e+10,3.22314e+11,-2.39954e+11
8.23597e+10,3.61095e+11,-2.78735e+11
8.88906e+10,2.48154e+11,-1.59263e+11
1.1784e+11,1.483e+11,-3.04597e+10
1.68496e+11,6.9757e+10,9.87392e+10
1.68496e+11,6.9757e+10,9.87392e+10
1.68496e+11,4.68232e+10,1.21673e+11
2.08197e+11,7.78677e+09,2.0041e+11
2.65097e+11,1.85892e+09,2.63238e+11
2.26759e+11,1.74437e+10,2.09315e+11
2.26759e+11,1.74437e+10,2.09315e+11
2.26759e+11,1.74437e+10,2.09315e+11
2.26759e+11,1.74437e+10,2.09315e+11
2.26759e+11,2.44178e+10,2.02341e+11
2.26759e+11,5.53618e+10,1.71397e+11
1.56844e+11,4.62604e+10,1.10584e+11
1.56844e+11,4.62604e+10,1.10584e+11
1.56844e+11,4.62604e+10,1.10584e+11
1.56844e+11,4.62604e+10,1.10584e+11
1.56844e+11,6.56431e+10,9.1201e+10
1.56844e+11,1.0188e+11,5.49643e+10
7.06775e+10,6.89047e+10,1.77272e+09
7.06775e+10,6.89047e+10,1.77272e+09
1.91883e+10,3.63611e+10,-1.71728e+10
1.91883e+10,3.63611e+10,-1.71728e+10
1.91883e+10,3.63611e+10,-1.71728e+10
1.91883e+10,3.63611e+10,-1.71728e+10
5.71309e+10,8.29957e+10,-2.58648e+10
1.24096e+11,1.49893e+11,-2.5797e+10
1.24096e+11,1.49893e+11,-2.5797e+10
1.24096e+11,1.49893e+11,-2.5797e+10
1.98976e+11,1.78448e+11,2.05287e+10
1.98976e+11,1.08237e+11,9.07391e+10
2.81432e+11,1.33771e+11,1.47661e+11
2.81432e+11,1.33771e+11,1.47661e+11
2.81432e+11,6.29931e+10,2.18439e+11
2.81432e+11,1.7945e+10,2.63487e+11
2.81432e+11,1.7945e+10,2.63487e+11
2.96765e+11,1.52444e+10,2.8152e+11
2.96765e+11,1.52444e+10,2.8152e+11
3.87839e+11,6.0335e+10,3.27504e+11
2.7898e+11,4.70404e+10,2.3194e+11
1.89379e+11,8.40578e+10,1.05321e+11
1.21241e+11,1.68338e+11,-4.70968e+10
7.62453e+10,2.9294e+11,-2.16695e+11
7.62453e+10,2.9294e+11,-2.16695e+11
4.63207e+10,4.31977e+11,-3.85656e+11
4.63207e+10,4.14951e+11,-3.68631e+11
3.43968e+10,5.48486e+11,-5.14089e+11
3.43968e+10,5.48486e+11,-5.14089e+11
6.15141e+10,3.75816e+11,-3.14302e+11
1.29893e+11,2.55449e+11,-1.25556e+11
2.37848e+11,1.97297e+11,4.05516e+10
2.37848e+11,1.0973e+11,1.28118e+11
2.37848e+11,7.38683e+10,1.6398e+11
2.37848e+11,9.26649e+10,1.45183e+11
2.37848e+11,9.26649e+10,1.45183e+11
2.37848e+11,9.26649e+10,1.45183e+11
2.37848e+11,9.26649e+10,1.45183e+11
1.74874e+11,1.53071e+11,2.18028e+10
1.62407e+11,2.63696e+11,-1.01289e+11
2.00752e+11,4.15427e+11,-2.14675e+11
2.00752e+11,4.15427e+11,-2.14675e+11
2.00752e+11,4.28004e+11,-2.27251e+11
1.21468e+11,2.87894e+11,-1.66426e+11
1.21468e+11,2.87894e+11,-1.66426e+11
5.88774e+10,1.64745e+11,-1.05868e+11
5.88774e+10,1.64745e+11,-1.05868e+11
1.91057e+10,9.82908e+10,-7.91851e+10
9.54146e+09,8.69089e+10,-7.73674e+10
9.54146e+09,8.69089e+10,-7.73674e+10
9.54146e+09,8.69089e+10,-7.73674e+10
9.54146e+09,9.57472e+10,-8.62058e+10
1.85138e+10,1.9371e+11,-1.75196e+11
1.85138e+10,1.9371e+11,-1.75196e+11
1.83169e+10,2.24271e+11,-2.05954e+11
1.83169e+10,3.64031e+11,-3.45714e+11
1.83169e+10,3.64031e+11,-3.45714e+11
1.83169e+10,5.0212e+11,-4.83803e+11
1.83169e+10,5.0212e+11,-4.83803e+11
6.95334e+10,7.03941e+11,-6.34408e+11
1.75919e+10,5.48244e+11,-5.30652e+11
5.65789e+08,3.93992e+11,-3.93426e+11
5.65789e+08,3.93992e+11,-3.93426e+11
1.98197e+10,2.46633e+11,-2.26813e+11
7.39063e+10,1.38515e+11,-6.46083e+10
7.39063e+10,1.38515e+11,-6.46083e+10
7.39063e+10,5.86219e+10,1.52844e+10
1.54636e+11,5.16424e+10,1.02994e+11
1.54636e+11,5.16424e+10,1.02994e+11
8.86666e+10,1.07438e+10,7.79228e+10
8.86666e+10,3.52802e+10,5.33863e+10
7.82763e+10,6.47155e+10,1.35608e+10
1.13588e+11,1.40137e+11,-2.65493e+10
1.13588e+11,2.10525e+11,-9.69368e+10
1.13588e+11,2.88248e+11,-1.7466e+11
1.13588e+11,2.88248e+11,-1.7466e+11
1.13588e+11,2.88248e+11,-1.7466e+11
1.13588e+11,2.88248e+11,-1.7466e+11
1.13588e+11,2.88248e+11,-1.7466e+11
4.36158e+10,1.66865e+11,-1.23249e+11
1.09243e+10,9.11447e+10,-8.02204e+10
1.09243e+10,9.11447e+10,-8.02204e+10
3.5877e+10,5.20726e+10,-1.61956e+10
3.58773e+10,1.00092e+10,2.5868e+10
3.58773e+10,1.00092e+10,2.5868e+10
7.86709e+10,1.25587e+09,7.7415e+10
4.32702e+10,9.63218e+09,3.3638e+10
4.32702e+10,4.7392e+10,-4.12187e+09
6.18965e+10,9.37958e+10,-3.18993e+10
6.18965e+10,9.37958e+10,-3.18993e+10
6.18965e+10,9.37958e+10,-3.18993e+10
8.62335e+10,1.89546e+11,-1.03312e+11
1.3428e+11,3.10317e+11,-1.76037e+11
1.3428e+11,3.10317e+11,-1.76037e+11
1.3428e+11,3.10317e+11,-1.76037e+11
1.77561e+11,3.8066e+11,-2.03099e+11
1.49486e+11,2.40728e+11,-9.12415e+10
1.61663e+11,2.49212e+11,-8.75495e+10
1.65684e+11,1.59442e+11,6.24229e+09
2.20165e+11,1.28441e+11,9.17236e+10
2.20165e+11,7.16293e+10,1.48536e+11
2.20165e+11,6.72538e+10,1.52911e+11
2.20165e+11,6.72538e+10,1.52911e+11
1.20606e+11,6.55323e+10,5.50742e+10
5.03603e+10,1.16083e+11,-6.57223e+10
1.23926e+11,1.24212e+11,-2.85644e+08
4.88523e+10,2.21886e+11,-1.73033e+11
